DateTime,latitude,longitude,measuring,raw measuring,Diff,UPPER LIMIT,LOWER LIMIT,Hour,GLOBAL_QTLE01,GLOBAL_QTLE99,DIFF_QTLE01,DIFF_QTLE99,Count,Std,% valid,Tag
2022-12-15 21:30:00,-28.456899,-48.972999,27.24875,27.1425,-0.0337499999999995,85.0,-40.0,21,21.47,31.765,-0.4349999999999987,0.17999999999999972,4,0.10314835594100953,100.0,VALID
2022-12-15 22:30:00,-28.456899,-48.972999,27.17875,27.1175,0.013749999999999929,85.0,-40.0,22,21.205,31.435000000000002,-0.41000000000000014,0.16000000000000014,4,0.047500000000000105,100.0,VALID
2022-12-15 23:30:00,-28.456899,-48.972999,26.85875,26.83,-0.07500000000000107,85.0,-40.0,23,20.87,31.119999999999997,-0.29499999999999815,0.10500000000000043,4,0.05006246098625272,100.0,VALID
2022-12-16 00:30:00,-28.456899,-48.972999,26.884999999999998,26.884999999999998,0.002500000000000391,85.0,-40.0,0,20.97,31.08,-0.36499999999999844,0.11500000000000199,4,0.005773502691896818,100.0,VALID
2022-12-16 01:30:00,-28.456899,-48.972999,26.97,27.035,0.038749999999999396,85.0,-40.0,1,20.28,30.82,-0.34499999999999886,0.09999999999999787,4,0.05212165257037207,100.0,VALID
2022-12-16 02:30:00,-28.456899000000003,-48.972998999999994,26.988333333333333,26.343333333333334,-0.07333333333333296,85.0,-40.0,2,19.86,30.855,-0.41999999999999815,0.12000000000000455,3,0.15011106998930412,75.0,VALID
2022-12-16 03:30:00,-28.456899,-48.972999,23.735,23.77,-0.14499999999999957,85.0,-40.0,3,19.745,30.9,-0.3450000000000024,0.125,2,0.0,50.0,LOWSAMPLES
2022-12-16 04:30:00,-28.456899,-48.972999,23.765,23.7425,0.003750000000000142,85.0,-40.0,4,19.605,30.945,-0.3150000000000013,0.13000000000000256,4,0.010000000000000083,100.0,VALID
2022-12-16 05:30:00,-28.456899,-48.972999,23.59,23.465,-0.07500000000000018,85.0,-40.0,5,19.53,30.985,-0.3200000000000003,0.18499999999999872,4,0.11430952132988303,100.0,VALID
2022-12-16 06:30:00,-28.456899,-48.972999,23.94125,24.85,0.30874999999999986,85.0,-40.0,6,19.545,30.994999999999997,-0.22500000000000142,1.019999999999996,4,0.5574252565740707,100.0,VALID
2022-12-16 07:30:00,-28.456899,-48.972999,27.04875,28.2475,0.8950000000000005,85.0,-40.0,7,19.705,31.98,-0.10999999999999943,1.5050000000000026,4,1.1197572281526016,100.0,VALID
2022-12-16 08:30:00,-28.456899,-48.972999,29.716250000000002,30.41,0.5150000000000006,85.0,-40.0,8,21.18,35.485,-0.03999999999999915,1.6299999999999955,4,0.595879951556244,100.0,VALID
2022-12-16 09:30:00,-28.456899,-48.972999,31.802500000000002,32.615,0.5837499999999984,85.0,-40.0,9,23.485,38.010000000000005,-0.3150000000000013,1.730000000000004,4,0.8170832270950108,100.0,VALID
2022-12-16 10:30:00,-28.456899,-48.972999,33.1275,33.25,0.14750000000000085,85.0,-40.0,10,24.185000000000002,40.215,-0.7600000000000051,1.3500000000000085,4,0.12196310917650391,100.0,VALID
2022-12-16 11:30:00,-28.456899,-48.972999,33.42,33.4225,0.054999999999999716,85.0,-40.0,11,24.47,42.375,-0.9149999999999991,1.1149999999999949,4,0.05773502691895929,100.0,VALID
2022-12-16 12:30:00,-28.456899,-48.972999,33.5925,33.43,-0.006249999999999645,85.0,-40.0,12,23.925,44.175,-0.6700000000000017,1.009999999999998,4,0.10618380290797791,100.0,VALID
2022-12-16 13:30:00,-28.456899,-48.972999,32.97,33.0075,-0.10874999999999879,85.0,-40.0,13,24.240000000000002,44.75,-1.1749999999999972,0.894999999999996,4,0.07118052168021055,100.0,VALID
2022-12-16 14:30:00,-28.456899,-48.972999,33.12,33.1225,0.007499999999998508,85.0,-40.0,14,24.07,44.74,-1.2850000000000037,0.9349999999999987,4,0.06123724356957984,100.0,VALID
2022-12-16 15:30:00,-28.456899,-48.972999,32.74,32.38,-0.10499999999999865,85.0,-40.0,15,23.65,43.985,-1.7450000000000045,0.7349999999999994,4,0.09407443861113211,100.0,VALID
2022-12-16 16:30:00,-28.456899,-48.972999,30.325000000000003,29.165,-0.8800000000000008,85.0,-40.0,16,23.6,42.66,-1.5549999999999926,0.41499999999999915,4,1.2329706673991334,100.0,VALID
2022-12-16 17:30:00,-28.456899,-48.972999,28.05125,27.05,-0.4537500000000003,85.0,-40.0,17,23.105,40.58,-1.4699999999999989,0.3949999999999996,4,0.5931747213089931,100.0,VALID
2022-12-16 18:30:00,-28.456899,-48.972999,25.285,24.7975,-0.6399999999999997,85.0,-40.0,18,23.38,38.265,-1.5650000000000013,0.5399999999999991,4,0.6224280413563217,100.0,VALID
2022-12-16 19:30:00,-28.456899,-48.972999,24.46875,24.34,-0.09750000000000014,85.0,-40.0,19,22.975,34.375,-1.3400000000000034,0.389999999999997,4,0.14682046860025824,100.0,VALID
2022-12-16 20:30:00,-28.456899,-48.972999,24.37125,24.3675,0.008750000000000036,85.0,-40.0,20,22.57,32.885,-0.6400000000000006,0.20000000000000284,4,0.025940637360455685,100.0,VALID
2022-12-16 21:30:00,-28.456899,-48.972999,24.435000000000002,24.48,0.027499999999999858,85.0,-40.0,21,21.47,31.765,-0.4349999999999987,0.17999999999999972,4,0.05446711546122631,100.0,VALID
2022-12-16 22:30:00,-28.456899,-48.972999,24.146250000000002,23.8575,-0.17749999999999932,85.0,-40.0,22,21.205,31.435000000000002,-0.41000000000000014,0.16000000000000014,4,0.30167242167622454,100.0,VALID
2022-12-16 23:30:00,-28.456899,-48.972999,23.58,23.4,-0.06875000000000142,85.0,-40.0,23,20.87,31.119999999999997,-0.29499999999999815,0.10500000000000043,4,0.07626707459098452,100.0,VALID
2022-12-17 00:30:00,-28.456899,-48.972999,22.93875,22.7025,-0.21624999999999872,85.0,-40.0,0,20.97,31.08,-0.36499999999999844,0.11500000000000199,4,0.27191833945751387,100.0,VALID
2022-12-17 01:30:00,-28.456899,-48.972999,22.72125,22.765,0.037499999999999645,85.0,-40.0,1,20.28,30.82,-0.34499999999999886,0.09999999999999787,4,0.06433959382319199,100.0,VALID
2022-12-17 02:30:00,-28.456899000000003,-48.972998999999994,22.686666666666667,22.356666666666666,-0.07333333333333296,85.0,-40.0,2,19.86,30.855,-0.41999999999999815,0.12000000000000455,3,0.11250925887824954,75.0,VALID
2022-12-17 03:30:00,-28.456899000000003,-48.972998999999994,21.81,21.883333333333336,-0.11333333333333447,85.0,-40.0,3,19.745,30.899999999999995,-0.3450000000000024,0.125,3,0.017320508075689686,75.0,VALID
2022-12-17 04:30:00,-28.456899,-48.972999,22.10375,22.0825,0.03625000000000078,85.0,-40.0,4,19.605,30.945,-0.3150000000000013,0.13000000000000256,4,0.01436140661634577,100.0,VALID
2022-12-17 05:30:00,-28.456899,-48.972999,21.88125,21.745,-0.0887500000000001,85.0,-40.0,5,19.53,30.985,-0.3200000000000003,0.18499999999999872,4,0.14185526661589667,100.0,VALID
2022-12-17 06:30:00,-28.456899,-48.972999,22.11625,22.65,0.20750000000000046,85.0,-40.0,6,19.545,30.994999999999997,-0.22500000000000142,1.019999999999996,4,0.36051756776427274,100.0,VALID
2022-12-17 07:30:00,-28.456899,-48.972999,23.8,24.627499999999998,0.47749999999999915,85.0,-40.0,7,19.705,31.98,-0.10999999999999943,1.5050000000000026,4,0.5992078103629838,100.0,VALID
2022-12-17 08:30:00,-28.456899,-48.972999,26.401249999999997,27.41,0.7324999999999999,85.0,-40.0,8,21.18,35.485,-0.03999999999999915,1.6299999999999955,4,0.9336431777361914,100.0,VALID
2022-12-17 09:30:00,-28.456899,-48.972999,28.395,28.3325,0.2887500000000003,85.0,-40.0,9,23.485,38.010000000000005,-0.3150000000000013,1.730000000000004,4,0.2474873734152922,100.0,VALID
2022-12-17 10:30:00,-28.456899,-48.972999,27.47375,27.6725,-0.28125,85.0,-40.0,10,24.185000000000002,40.215,-0.7600000000000051,1.3500000000000085,4,0.35877976067034245,100.0,VALID
2022-12-17 11:30:00,-28.456899,-48.972999,28.8825,29.11,0.40000000000000036,85.0,-40.0,11,24.47,42.375,-0.9149999999999991,1.1149999999999949,4,0.3383661724621224,100.0,VALID
2022-12-17 12:30:00,-28.456899,-48.972999,28.28,27.62,-0.375,85.0,-40.0,12,23.925,44.175,-0.6700000000000017,1.009999999999998,4,0.5731055749161736,100.0,VALID
2022-12-17 13:30:00,-28.456899,-48.972999,26.84875,26.697499999999998,-0.21750000000000114,85.0,-40.0,13,24.240000000000002,44.75,-1.1749999999999972,0.894999999999996,4,0.19980719873584737,100.0,VALID
2022-12-17 14:30:00,-28.456899,-48.972999,26.79,26.9725,0.07375000000000043,85.0,-40.0,14,24.07,44.74,-1.2850000000000037,0.9349999999999987,4,0.12890565025112974,100.0,VALID
2022-12-17 15:30:00,-28.456899,-48.972999,27.0325,26.9025,-0.019999999999999574,85.0,-40.0,15,23.65,43.985,-1.7450000000000045,0.7349999999999994,4,0.10712142642814464,100.0,VALID
2022-12-17 16:30:00,-28.456899,-48.972999,26.6975,26.5125,-0.09250000000000025,85.0,-40.0,16,23.6,42.66,-1.5549999999999926,0.41499999999999915,4,0.1361677886530686,100.0,VALID
2022-12-17 17:30:00,-28.456899,-48.972999,25.5575,24.9,-0.4524999999999997,85.0,-40.0,17,23.105,40.58,-1.4699999999999989,0.3949999999999996,4,0.7094187761823054,100.0,VALID
2022-12-17 18:30:00,-28.456899,-48.972999,24.345,24.125,-0.15000000000000036,85.0,-40.0,18,23.38,38.265,-1.5650000000000013,0.5399999999999991,4,0.18303005217723176,100.0,VALID
2022-12-17 19:30:00,-28.456899,-48.972999,23.677500000000002,23.3475,-0.1974999999999998,85.0,-40.0,19,22.975,34.375,-1.3400000000000034,0.389999999999997,4,0.2755146699058568,100.0,VALID
2022-12-17 20:30:00,-28.456899,-48.972999,22.9625,22.86,-0.11374999999999957,85.0,-40.0,20,22.57,32.885,-0.6400000000000006,0.20000000000000284,4,0.09041570660012513,100.0,VALID
2022-12-17 21:30:00,-28.456899,-48.972999,22.75875,22.73,-0.03375000000000039,85.0,-40.0,21,21.47,31.765,-0.4349999999999987,0.17999999999999972,4,0.02809952550014567,100.0,VALID
2022-12-17 22:30:00,-28.456899,-48.972999,22.68875,22.6775,-0.012500000000000178,85.0,-40.0,22,21.205,31.435000000000002,-0.41000000000000014,0.16000000000000014,4,0.014361406616344809,100.0,VALID
2022-12-17 23:30:00,-28.456899,-48.972999,22.58125,22.4925,-0.054999999999999716,85.0,-40.0,23,20.87,31.119999999999997,-0.29499999999999815,0.10500000000000043,4,0.0956011680542303,100.0,VALID
