,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 1,","{'Mean': -20.268750728368243, 'Std': 7.470041020667536}","{'Mean': -17.88198264738801, 'Std': 7.2988125190249}","{'Mean': -20.934746045503264, 'Std': 6.009677496595199}","{'Mean': -18.463256729820124, 'Std': 7.155911650816215}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 2,","{'Mean': -19.567433376224493, 'Std': 7.151049655205976}","{'Mean': -17.981402922640562, 'Std': 7.254435418637311}","{'Mean': -22.839752510439546, 'Std': 5.350023772280674}","{'Mean': -18.57319479520897, 'Std': 7.078899895176492}"
"measuring NO2,measuring O3 1,measuring SO2 1,measuring SO2 2,","{'Mean': -21.199841539389144, 'Std': 6.420686363373591}","{'Mean': -18.134510838575217, 'Std': 8.184750374502391}","{'Mean': -21.384559959963248, 'Std': 5.948967964900113}","{'Mean': -18.464986843016874, 'Std': 7.53685534915229}"
"measuring NO2,measuring O3 1,measuring SO2 1,measuring PM10,","{'Mean': -20.979237985553645, 'Std': 9.38222283125153}","{'Mean': -18.157854606921994, 'Std': 8.251363267666553}","{'Mean': -20.688149229749506, 'Std': 7.146895224481236}","{'Mean': -17.960289674645768, 'Std': 8.41238793551612}"
"measuring NO2,measuring O3 1,measuring SO2 1,temperature,","{'Mean': -20.126442092007867, 'Std': 9.86766935968494}","{'Mean': -17.899568025477432, 'Std': 7.621872006768638}","{'Mean': -22.551137162873523, 'Std': 6.33440885036973}","{'Mean': -18.49956157460339, 'Std': 7.371714201610514}"
"measuring NO2,measuring O3 1,measuring SO2 2,measuring PM10,","{'Mean': -19.326686544540248, 'Std': 7.083000498637574}","{'Mean': -18.34821346930897, 'Std': 8.089365841905323}","{'Mean': -21.018650508474416, 'Std': 5.7597423099244835}","{'Mean': -18.42790882062619, 'Std': 7.549060721199982}"
"measuring NO2,measuring O3 1,measuring SO2 2,temperature,","{'Mean': -19.92925358196407, 'Std': 7.45526203899401}","{'Mean': -18.08696246140142, 'Std': 7.54795798062759}","{'Mean': -21.564195977884896, 'Std': 5.589352637568442}","{'Mean': -19.03075879922517, 'Std': 6.994232042230677}"
"measuring NO2,measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -19.991699768953715, 'Std': 6.3244137455889}","{'Mean': -17.90708732623104, 'Std': 7.282113551142063}","{'Mean': -22.7537337561605, 'Std': 5.972012504956484}","{'Mean': -18.53869456592195, 'Std': 7.093256608455401}"
"measuring NO2,measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -19.471502595896, 'Std': 6.708917910353913}","{'Mean': -17.884050276073122, 'Std': 7.2910865005142425}","{'Mean': -21.29115532518453, 'Std': 5.9538405531935705}","{'Mean': -18.483891042748034, 'Std': 7.126885264616284}"
"measuring NO2,measuring O3 2,measuring SO2 1,temperature,","{'Mean': -20.47059512624714, 'Std': 6.7691956716425405}","{'Mean': -18.256751980424532, 'Std': 7.083237431651232}","{'Mean': -22.90544603835585, 'Std': 6.508612126831238}","{'Mean': -19.320938277967002, 'Std': 6.573130467391811}"
