,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring O3 2,measuring SO2 1,temperature,","{'Mean': -0.6874233578157918, 'Std': 0.9424366721647135}","{'Mean': -0.20377829259993172, 'Std': 0.3541036067481879}","{'Mean': -1.5803903383300275, 'Std': 2.1595656023824734}","{'Mean': -0.39428606265682176, 'Std': 0.5491398809491674}"
"measuring CO,measuring O3 2,measuring SO2 2,measuring PM10,","{'Mean': -0.31405941561389755, 'Std': 0.4593253745216882}","{'Mean': -0.14988394301064964, 'Std': 0.2344714470146863}","{'Mean': -1.2087595596673342, 'Std': 1.3257191639784347}","{'Mean': -0.1677554427642911, 'Std': 0.35043503446367946}"
"measuring CO,measuring O3 2,measuring SO2 2,temperature,","{'Mean': -0.5278215077808606, 'Std': 0.725705848542429}","{'Mean': -0.22166001732787732, 'Std': 0.34159666534170596}","{'Mean': -1.291542549733267, 'Std': 1.5812259441551246}","{'Mean': -0.3843359089566098, 'Std': 0.5428676747401139}"
"measuring CO,measuring SO2 1,measuring SO2 2,measuring PM10,","{'Mean': -0.47025542240472173, 'Std': 0.591306372804267}","{'Mean': -0.14741997501342902, 'Std': 0.21876464883833852}","{'Mean': -1.1002694817926393, 'Std': 1.305300185935632}","{'Mean': -0.130860911777474, 'Std': 0.41096660699899273}"
"measuring CO,measuring SO2 1,measuring SO2 2,temperature,","{'Mean': -0.5050588102438317, 'Std': 0.7188320544784469}","{'Mean': -0.15249711414344708, 'Std': 0.2215680941356294}","{'Mean': -1.2493444398561286, 'Std': 1.6433103803768911}","{'Mean': -0.38740111185145365, 'Std': 0.48388526245884655}"
"measuring CO,measuring SO2 1,measuring PM10,temperature,","{'Mean': -0.09301148957423988, 'Std': 0.1862277319389275}","{'Mean': -0.12489845861511384, 'Std': 0.2145314461597717}","{'Mean': -1.1241186659309068, 'Std': 1.2514094514588743}","{'Mean': -0.3698086678457351, 'Std': 0.5003594382951074}"
"measuring CO,measuring SO2 2,measuring PM10,temperature,","{'Mean': -0.19679997102131516, 'Std': 0.31212785553192246}","{'Mean': -0.15285012339664555, 'Std': 0.22746146815765894}","{'Mean': -1.1197606331873067, 'Std': 1.3062110675322882}","{'Mean': -0.40343149508739823, 'Std': 0.5025231262161286}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 1,","{'Mean': -0.7555596990581122, 'Std': 0.9622266865416074}","{'Mean': -0.2141748401729723, 'Std': 0.3968501276591189}","{'Mean': -1.046252050101258, 'Std': 1.2453421306140056}","{'Mean': -0.3176811785256623, 'Std': 0.4418033497527186}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 2,","{'Mean': -0.5168000933174772, 'Std': 0.5585918752372998}","{'Mean': -0.22628523096306502, 'Std': 0.38356117453321564}","{'Mean': -1.678788098681024, 'Std': 2.122264803380643}","{'Mean': -0.35209944370285273, 'Std': 0.49290941309574315}"
"measuring NO2,measuring O3 1,measuring SO2 1,measuring SO2 2,","{'Mean': -0.8908303247435517, 'Std': 0.8847891515162374}","{'Mean': -0.1781344032545194, 'Std': 0.2546247093738845}","{'Mean': -1.1429520764259304, 'Std': 1.400040401902851}","{'Mean': -0.34420329280250594, 'Std': 0.6548420197023568}"
"measuring NO2,measuring O3 1,measuring SO2 1,measuring PM10,","{'Mean': -0.6515176403908172, 'Std': 0.5573139789642455}","{'Mean': -0.16789293122231616, 'Std': 0.20480234433799177}","{'Mean': -0.6902176890316633, 'Std': 0.5448114081636977}","{'Mean': -0.13434551738403352, 'Std': 0.22714547559019355}"
"measuring NO2,measuring O3 1,measuring SO2 1,temperature,","{'Mean': -0.4744146794516858, 'Std': 0.4826402413920213}","{'Mean': -0.1757112866554898, 'Std': 0.34036512130449026}","{'Mean': -1.482158704589444, 'Std': 1.6628596951336159}","{'Mean': -0.3305455513469746, 'Std': 0.5452950935081703}"
"measuring NO2,measuring O3 1,measuring SO2 2,measuring PM10,","{'Mean': -0.4430043082116376, 'Std': 0.46787010652024663}","{'Mean': -0.21452010327789733, 'Std': 0.2605920552088478}","{'Mean': -1.1639019343840005, 'Std': 1.7028236804361792}","{'Mean': -0.33846746872664835, 'Std': 0.6568895968235404}"
"measuring NO2,measuring O3 1,measuring SO2 2,temperature,","{'Mean': -0.5939744886258959, 'Std': 0.6507373603167073}","{'Mean': -0.20771853256131262, 'Std': 0.36114870243684627}","{'Mean': -1.3248090663144971, 'Std': 1.6575519491425508}","{'Mean': -0.4539348902390768, 'Std': 0.5981806080150225}"
"measuring NO2,measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -0.6958665192876621, 'Std': 0.8081511889050051}","{'Mean': -0.21747698191634104, 'Std': 0.39607564828362934}","{'Mean': -1.7605657455704198, 'Std': 2.4057548062790004}","{'Mean': -0.34695058793490424, 'Std': 0.4923712128635965}"
"measuring NO2,measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -0.6168356844654517, 'Std': 0.8124103791674422}","{'Mean': -0.21386083152882018, 'Std': 0.3943811559347433}","{'Mean': -1.171208109358622, 'Std': 1.41361378961671}","{'Mean': -0.3286461181220378, 'Std': 0.4639113233515819}"
"measuring NO2,measuring O3 2,measuring SO2 1,temperature,","{'Mean': -0.9535814668403979, 'Std': 1.258823395913496}","{'Mean': -0.3057180688186206, 'Std': 0.48621236088674463}","{'Mean': -2.196065822820997, 'Std': 3.3370715322830935}","{'Mean': -0.578263931726816, 'Std': 0.7692014206064222}"
"measuring NO2,measuring O3 2,measuring SO2 2,measuring PM10,","{'Mean': -0.500379292257956, 'Std': 0.7552278479268663}","{'Mean': -0.22264448784683832, 'Std': 0.3778270574335279}","{'Mean': -1.5078810989330342, 'Std': 1.884466585991713}","{'Mean': -0.3602781489728436, 'Std': 0.5148002017141297}"
"measuring NO2,measuring O3 2,measuring SO2 2,temperature,","{'Mean': -0.7714685015846656, 'Std': 0.9865630532079176}","{'Mean': -0.3239853080000966, 'Std': 0.47380515041997107}","{'Mean': -1.7698612572460202, 'Std': 2.488235244339267}","{'Mean': -0.5812093632526395, 'Std': 0.7706537412280662}"
"measuring NO2,measuring SO2 1,measuring SO2 2,measuring PM10,","{'Mean': -0.7570433832190403, 'Std': 0.8125396432455545}","{'Mean': -0.16806684942280667, 'Std': 0.27829578964316753}","{'Mean': -1.173416122615786, 'Std': 1.47263554456483}","{'Mean': -0.3562168139535197, 'Std': 0.6640670764047212}"
