,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring O3 2,measuring SO2 2,temperature,","{'Mean': -0.06631770242181258, 'Std': 0.013492655732755847}","{'Mean': -0.060504770781152205, 'Std': 0.012318093526819878}","{'Mean': -0.06311700547887711, 'Std': 0.014554455365550063}","{'Mean': -0.060467409466298694, 'Std': 0.01239729786416419}"
"measuring CO,measuring O3 2,measuring PM10,temperature,","{'Mean': -0.058975004154526466, 'Std': 0.012943713577148049}","{'Mean': -0.059595756916662634, 'Std': 0.013362495933834942}","{'Mean': -0.06550338472034392, 'Std': 0.011990471168804973}","{'Mean': -0.060996550182601195, 'Std': 0.012629023476110345}"
"measuring CO,measuring SO2 1,measuring SO2 2,measuring PM10,","{'Mean': -0.13181850509889587, 'Std': 0.04081648465991484}","{'Mean': -0.06173819592015399, 'Std': 0.011735515251466334}","{'Mean': -0.06555142790781891, 'Std': 0.01222100380211598}","{'Mean': -0.06022059719789439, 'Std': 0.012085647016345707}"
"measuring CO,measuring SO2 1,measuring SO2 2,temperature,","{'Mean': -0.20934568290594116, 'Std': 0.17426940593362913}","{'Mean': -0.06197317509397682, 'Std': 0.01147807384301363}","{'Mean': -0.06090542178090204, 'Std': 0.011787477897028758}","{'Mean': -0.06039992008503307, 'Std': 0.012199744694584918}"
"measuring CO,measuring SO2 1,measuring PM10,temperature,","{'Mean': -0.0783148867067198, 'Std': 0.022625290396625728}","{'Mean': -0.06114570128391489, 'Std': 0.012517065094160954}","{'Mean': -0.06669741377423939, 'Std': 0.01433655506781591}","{'Mean': -0.06078722343417616, 'Std': 0.012364517397196654}"
"measuring CO,measuring SO2 2,measuring PM10,temperature,","{'Mean': -0.058596518289334786, 'Std': 0.01335958009131195}","{'Mean': -0.06200217323141024, 'Std': 0.012315273646786916}","{'Mean': -0.06169397100704439, 'Std': 0.00934742144527951}","{'Mean': -0.060328146286247906, 'Std': 0.012207525568313884}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 1,","{'Mean': -0.20490083097741696, 'Std': 0.17766384216026682}","{'Mean': -0.06133280114991124, 'Std': 0.010927792756162309}","{'Mean': -0.06477145731928188, 'Std': 0.011216945863232186}","{'Mean': -0.058847022918073845, 'Std': 0.011329177114742257}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 2,","{'Mean': -0.2121405888558491, 'Std': 0.1950285816946799}","{'Mean': -0.061409601280368785, 'Std': 0.0102902186998359}","{'Mean': -0.06271331383990764, 'Std': 0.011876991063722251}","{'Mean': -0.059804585161410365, 'Std': 0.011114139578121395}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -0.09038340657384257, 'Std': 0.026775823317632147}","{'Mean': -0.06155877236766736, 'Std': 0.011602290151574232}","{'Mean': -0.06284314912735413, 'Std': 0.009557452680664658}","{'Mean': -0.058868059480161494, 'Std': 0.01133140881692733}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': -0.08474170541355361, 'Std': 0.028204604323644595}","{'Mean': -0.06005432936767641, 'Std': 0.01198182836879486}","{'Mean': -0.06391281703842788, 'Std': 0.01114407443422998}","{'Mean': -0.05940418979874853, 'Std': 0.011463555428512202}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 1,measuring SO2 2,","{'Mean': -0.19136800586504585, 'Std': 0.08642906082184956}","{'Mean': -0.06215539511929814, 'Std': 0.010410517060233757}","{'Mean': -0.060966533370918195, 'Std': 0.00674506284541969}","{'Mean': -0.059675949541054284, 'Std': 0.010916276695628535}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 1,measuring PM10,","{'Mean': -0.15822071568310067, 'Std': 0.12273990472886757}","{'Mean': -0.06158918695396517, 'Std': 0.010915089655525347}","{'Mean': -0.060872036613101276, 'Std': 0.011407931762801107}","{'Mean': -0.05825612680448765, 'Std': 0.010964218747446717}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 1,temperature,","{'Mean': -0.19375422860794567, 'Std': 0.1782447554668244}","{'Mean': -0.06190719719089989, 'Std': 0.010516382822323605}","{'Mean': -0.06324064207650648, 'Std': 0.01118779467773695}","{'Mean': -0.05914630948580587, 'Std': 0.011195565014707285}"
