,Sensores,MLP,MLR,KNN,RF
140,NO2 + O3 1 + O3 2 + SO2 2 + T,-21.22 ± 11.97,-9.3 ± 2.04,-9.22 ± 1.95,-9.25 ± 2.26
141,NO2 + O3 1 + O3 2 + PM10 + T,-14.9 ± 2.51,-9.52 ± 2.27,-9.35 ± 2.04,-8.99 ± 1.72
142,NO2 + O3 1 + SO2 1 + SO2 2 + PM10,-18.74 ± 4.97,-12.11 ± 3.3,-12.69 ± 3.11,-10.84 ± 2.52
143,NO2 + O3 1 + SO2 1 + SO2 2 + T,-14.87 ± 4.85,-9.0 ± 1.84,-8.97 ± 2.08,-8.88 ± 1.99
144,NO2 + O3 1 + SO2 1 + PM10 + T,-13.32 ± 1.85,-9.17 ± 2.04,-9.13 ± 1.93,-9.35 ± 1.8
145,NO2 + O3 1 + SO2 2 + PM10 + T,-14.38 ± 4.7,-9.06 ± 1.94,-9.19 ± 1.93,-9.43 ± 2.37
146,NO2 + O3 2 + SO2 1 + SO2 2 + PM10,-17.34 ± 7.26,-10.27 ± 2.28,-10.36 ± 2.11,-10.08 ± 1.51
147,NO2 + O3 2 + SO2 1 + SO2 2 + T,-24.89 ± 17.42,-9.3 ± 2.07,-9.55 ± 2.23,-8.86 ± 2.01
148,NO2 + O3 2 + SO2 1 + PM10 + T,-15.92 ± 2.9,-9.47 ± 2.25,-9.31 ± 1.72,-9.11 ± 2.02
149,NO2 + O3 2 + SO2 2 + PM10 + T,-21.49 ± 12.32,-9.39 ± 2.14,-9.72 ± 2.17,-9.38 ± 2.41
150,O3 1 + O3 2 + SO2 1 + SO2 2 + PM10,-14.49 ± 3.22,-9.8 ± 2.07,-10.46 ± 1.88,-10.32 ± 1.39
151,O3 1 + O3 2 + SO2 1 + SO2 2 + T,-14.95 ± 4.06,-9.13 ± 1.96,-9.68 ± 2.06,-8.91 ± 2.01
152,O3 1 + O3 2 + SO2 1 + PM10 + T,-15.74 ± 3.81,-9.34 ± 2.14,-9.64 ± 1.76,-9.0 ± 1.75
153,O3 1 + O3 2 + SO2 2 + PM10 + T,-16.48 ± 3.25,-9.22 ± 2.02,-9.63 ± 2.08,-9.3 ± 2.26
154,O3 1 + SO2 1 + SO2 2 + PM10 + T,-12.25 ± 2.64,-8.93 ± 1.85,-9.13 ± 2.05,-8.88 ± 1.98
155,O3 2 + SO2 1 + SO2 2 + PM10 + T,-14.68 ± 2.64,-9.22 ± 2.02,-9.36 ± 1.97,-8.76 ± 2.07
156,CO + NO2 + O3 1 + O3 2 + SO2 1 + SO2 2,-24.8 ± 15.88,-10.21 ± 2.08,-11.08 ± 1.63,-10.96 ± 2.24
157,CO + NO2 + O3 1 + O3 2 + SO2 1 + PM10,-20.91 ± 5.08,-10.46 ± 1.77,-11.52 ± 1.53,-12.35 ± 3.09
158,CO + NO2 + O3 1 + O3 2 + SO2 1 + T,-18.91 ± 5.16,-8.55 ± 1.87,-10.33 ± 1.73,-9.03 ± 1.81
159,CO + NO2 + O3 1 + O3 2 + SO2 2 + PM10,-25.81 ± 20.27,-10.09 ± 1.92,-11.06 ± 1.68,-10.64 ± 2.01
160,CO + NO2 + O3 1 + O3 2 + SO2 2 + T,-28.99 ± 21.52,-8.52 ± 1.85,-9.69 ± 1.83,-8.87 ± 1.94
161,CO + NO2 + O3 1 + O3 2 + PM10 + T,-21.29 ± 9.49,-8.62 ± 1.92,-9.84 ± 1.83,-8.89 ± 1.73
162,CO + NO2 + O3 1 + SO2 1 + SO2 2 + PM10,-25.29 ± 13.5,-13.02 ± 2.42,-13.21 ± 2.77,-11.05 ± 2.14
163,CO + NO2 + O3 1 + SO2 1 + SO2 2 + T,-20.03 ± 10.12,-8.5 ± 1.74,-9.71 ± 1.77,-8.5 ± 1.93
164,CO + NO2 + O3 1 + SO2 1 + PM10 + T,-17.19 ± 3.16,-8.58 ± 1.78,-9.96 ± 1.82,-9.12 ± 1.86
165,CO + NO2 + O3 1 + SO2 2 + PM10 + T,-19.07 ± 12.6,-8.52 ± 1.77,-9.48 ± 1.9,-8.91 ± 2.03
166,CO + NO2 + O3 2 + SO2 1 + SO2 2 + PM10,-24.14 ± 14.89,-10.84 ± 1.95,-10.97 ± 1.88,-10.88 ± 2.05
167,CO + NO2 + O3 2 + SO2 1 + SO2 2 + T,-22.08 ± 13.33,-8.86 ± 1.95,-9.95 ± 2.09,-9.04 ± 2.0
168,CO + NO2 + O3 2 + SO2 1 + PM10 + T,-20.55 ± 6.5,-8.95 ± 2.07,-10.28 ± 1.85,-9.87 ± 2.3
169,CO + NO2 + O3 2 + SO2 2 + PM10 + T,-18.39 ± 7.99,-8.94 ± 2.0,-9.81 ± 2.04,-9.45 ± 2.45
170,CO + O3 1 + O3 2 + SO2 1 + SO2 2 + PM10,-16.56 ± 2.15,-10.06 ± 1.88,-11.15 ± 1.52,-10.7 ± 1.89
171,CO + O3 1 + O3 2 + SO2 1 + SO2 2 + T,-24.13 ± 14.69,-8.47 ± 1.81,-9.65 ± 1.82,-8.66 ± 1.95
172,CO + O3 1 + O3 2 + SO2 1 + PM10 + T,-17.71 ± 4.04,-8.56 ± 1.87,-9.8 ± 1.61,-9.07 ± 1.8
173,CO + O3 1 + O3 2 + SO2 2 + PM10 + T,-19.63 ± 7.59,-8.5 ± 1.84,-9.44 ± 1.87,-8.88 ± 1.96
174,CO + O3 1 + SO2 1 + SO2 2 + PM10 + T,-15.7 ± 3.85,-8.47 ± 1.73,-9.5 ± 1.98,-8.7 ± 2.07
175,CO + O3 2 + SO2 1 + SO2 2 + PM10 + T,-14.75 ± 2.96,-8.83 ± 1.92,-9.64 ± 1.8,-9.0 ± 2.02
176,NO2 + O3 1 + O3 2 + SO2 1 + SO2 2 + PM10,-19.82 ± 4.7,-9.81 ± 2.07,-10.07 ± 2.14,-9.94 ± 1.35
177,NO2 + O3 1 + O3 2 + SO2 1 + SO2 2 + T,-19.38 ± 5.64,-9.14 ± 1.95,-9.25 ± 1.97,-8.77 ± 1.97
178,NO2 + O3 1 + O3 2 + SO2 1 + PM10 + T,-17.4 ± 2.59,-9.34 ± 2.14,-9.35 ± 1.78,-9.05 ± 1.76
179,NO2 + O3 1 + O3 2 + SO2 2 + PM10 + T,-21.2 ± 8.12,-9.24 ± 2.01,-9.31 ± 2.06,-9.28 ± 2.26
180,NO2 + O3 1 + SO2 1 + SO2 2 + PM10 + T,-21.85 ± 16.1,-8.94 ± 1.85,-9.01 ± 1.91,-8.87 ± 1.99
181,NO2 + O3 2 + SO2 1 + SO2 2 + PM10 + T,-17.8 ± 5.99,-9.24 ± 2.01,-9.23 ± 1.72,-8.72 ± 1.94
182,O3 1 + O3 2 + SO2 1 + SO2 2 + PM10 + T,-15.53 ± 1.79,-9.09 ± 1.95,-9.43 ± 1.82,-8.85 ± 1.94
183,CO + NO2 + O3 1 + O3 2 + SO2 1 + SO2 2 + PM10,-30.16 ± 22.07,-10.05 ± 1.89,-10.84 ± 1.54,-10.6 ± 1.72
184,CO + NO2 + O3 1 + O3 2 + SO2 1 + SO2 2 + T,-22.38 ± 8.71,-8.47 ± 1.81,-9.87 ± 1.68,-8.67 ± 1.99
185,CO + NO2 + O3 1 + O3 2 + SO2 1 + PM10 + T,-17.36 ± 2.61,-8.55 ± 1.86,-9.95 ± 1.49,-8.98 ± 1.68
186,CO + NO2 + O3 1 + O3 2 + SO2 2 + PM10 + T,-22.94 ± 12.36,-8.51 ± 1.84,-9.5 ± 1.85,-8.72 ± 1.89
187,CO + NO2 + O3 1 + SO2 1 + SO2 2 + PM10 + T,-21.66 ± 12.67,-8.47 ± 1.73,-9.51 ± 1.86,-8.52 ± 1.89
188,CO + NO2 + O3 2 + SO2 1 + SO2 2 + PM10 + T,-18.17 ± 6.19,-8.84 ± 1.91,-9.73 ± 1.75,-9.01 ± 2.02
189,CO + O3 1 + O3 2 + SO2 1 + SO2 2 + PM10 + T,-20.55 ± 4.1,-8.46 ± 1.81,-9.39 ± 1.74,-8.64 ± 1.84
190,NO2 + O3 1 + O3 2 + SO2 1 + SO2 2 + PM10 + T,-17.9 ± 2.53,-9.11 ± 1.94,-9.17 ± 1.88,-8.9 ± 1.97
191,CO + NO2 + O3 1 + O3 2 + SO2 1 + SO2 2 + PM10 + T,-21.99 ± 9.74,-8.47 ± 1.81,-9.53 ± 1.57,-8.52 ± 1.88
