,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -8.247098085331322, 'Std': 1.5743697961900365}","{'Mean': -7.938916788262108, 'Std': 2.3797357990217565}","{'Mean': -8.693356643356644, 'Std': 1.3560837963892491}","{'Mean': -7.222073789821069, 'Std': 1.668395644356592}"
"measuring CO,measuring NO2,measuring SO2 1,measuring SO2 2,measuring PM10,","{'Mean': -7.884796699502746, 'Std': 0.8619332929719213}","{'Mean': -7.952100232711567, 'Std': 2.6432466211529366}","{'Mean': -8.749883916083917, 'Std': 1.2251246190307001}","{'Mean': -7.2106044719112585, 'Std': 1.6853110093077026}"
"measuring CO,measuring NO2,measuring SO2 1,measuring SO2 2,temperature,","{'Mean': -8.683994713000882, 'Std': 1.144787618231712}","{'Mean': -8.049188579237946, 'Std': 2.6045302791786153}","{'Mean': -9.275011188811188, 'Std': 0.661018529941492}","{'Mean': -7.2425611735098965, 'Std': 1.656446420540285}"
"measuring CO,measuring NO2,measuring SO2 1,measuring PM10,temperature,","{'Mean': -7.907767629340266, 'Std': 1.4131493764438612}","{'Mean': -7.809876701039246, 'Std': 2.547561853036855}","{'Mean': -8.753574825174825, 'Std': 0.9388807228578718}","{'Mean': -7.223416772699411, 'Std': 1.6697433221923188}"
"measuring CO,measuring NO2,measuring SO2 2,measuring PM10,temperature,","{'Mean': -8.247102425027656, 'Std': 1.2831280613073541}","{'Mean': -8.061993671735305, 'Std': 2.654306875861863}","{'Mean': -9.042234965034966, 'Std': 0.8095932711308653}","{'Mean': -7.246385152007457, 'Std': 1.6602786475446745}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -8.25564035203876, 'Std': 1.1203064172201709}","{'Mean': -7.614731826352593, 'Std': 1.6377876055248743}","{'Mean': -8.946517482517482, 'Std': 1.0912977349761732}","{'Mean': -7.557942719261698, 'Std': 1.5621810567435683}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -8.555586006404235, 'Std': 1.0655780000838546}","{'Mean': -7.460548475475742, 'Std': 1.726090972944014}","{'Mean': -8.932193006993009, 'Std': 1.4998228366115693}","{'Mean': -7.484160104224662, 'Std': 1.6247609819757936}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 1,temperature,","{'Mean': -8.510739064381193, 'Std': 1.2574866898664225}","{'Mean': -7.663492853820459, 'Std': 1.550283175242422}","{'Mean': -9.072857342657342, 'Std': 1.5094651757428132}","{'Mean': -7.756217075875019, 'Std': 1.4954026666142606}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 2,measuring PM10,","{'Mean': -7.871495456960315, 'Std': 1.143203628182644}","{'Mean': -7.678646576305316, 'Std': 1.6705196331939862}","{'Mean': -8.70635804195804, 'Std': 1.413144103775376}","{'Mean': -7.586604707584056, 'Std': 1.5933046988485253}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 2,temperature,","{'Mean': -8.240880961674968, 'Std': 1.331119437119604}","{'Mean': -7.914900880709105, 'Std': 1.4746936028435036}","{'Mean': -8.766338461538462, 'Std': 1.4032921893967587}","{'Mean': -7.856097730104436, 'Std': 1.4473637548059228}"
